"","Country","gesamt","ruestung","status","Gesamt_2012","Ruestung_2012"
"1","Afghanistan",965398,38520,"NF",9856604,3325000
"2","Algeria",825726128,27639122,"NF",286720740,0
"3","Angola",968633,0,"NF",1390553,0
"4","Azerbaijan",354800,0,"NF",0,0
"5","Bahrain",12857264,0,"NF",4326961,0
"6","Belarus",1115,0,"NF",23962,0
"7","Cambodia",27432,0,"NF",0,0
"8","Cameroon",66150,0,"NF",3165776,0
"9","Central African Republic",0,0,"NF",795,0
"10","Chad",0,0,"NF",142436,0
"11","China",16977662,0,"NF",5757715,0
"12","Cuba",0,0,"NF",7403,0
"13","Djibouti",0,0,"NF",0,0
"14","Egypt",13192214,0,"NF",10696967,0
"15","Equatorial Guinea",0,0,"NF",6900,0
"16","Eritrea",0,0,"NF",0,0
"17","Ethiopia",195000,0,"NF",169200,0
"18","Gabon",20900,0,"NF",9884,0
"19","Guinea-Bissau",0,0,"NF",5600,0
"20","Iran",0,0,"NF",0,0
"21","Iraq",21348625,5640,"NF",112651920,125603000
"22","Jordan",10101955,2543400,"NF",1140790,24000
"23","Kazakhstan",7976550,0,"NF",4935700,0
"24","Mauritania",0,0,"NF",96550,0
"25","Oman",24563658,5015735,"NF",8123140,430000
"26","Qatar",673377690,0,"NF",17565455,0
"27","Rwanda",0,0,"NF",0,0
"28","Saudi Arabia",361024681,46452100,"NF",1237288814,9895000
"29","Somalia",722478,0,"NF",137698,0
"30","Sudan",586071,0,"NF",632600,0
"31","Swaziland",0,0,"NF",0,0
"32","Tajikistan",575000,0,"NF",0,0
"33","Turkmenistan",39317453,0,"NF",3828015,0
"34","United Arab Emirates",128650220,1448524,"NF",124890019,21795000
"35","Uzbekistan",0,0,"NF",290940,0
"36","Yemen",446077,0,"NF",0,0
"37","Zimbabwe",0,0,"NF",0,0
