"","year","gesamt","ruestung","country","country_code"
"2326",2013-01-01,965398,38520,"Afghanistan","AFG"
"2327",2013-01-01,0,0,"Albania","ALB"
"2328",2013-01-01,825726128,27639122,"Algeria","DZA"
"2329",2013-01-01,968633,0,"Angola","AGO"
"2330",2013-01-01,0,0,"Antigua and Barbuda","ATG"
"2331",2013-01-01,11485237,0,"Argentina","ARG"
"2332",2013-01-01,654,0,"Armenia","ARM"
"2333",2013-01-01,35328161,0,"Australia","AUS"
"2334",2013-01-01,87167261,0,"Austria","AUT"
"2335",2013-01-01,354800,0,"Azerbaijan","AZE"
"2336",2013-01-01,0,0,"Bahamas","BHS"
"2337",2013-01-01,12857264,0,"Bahrain","BHR"
"2338",2013-01-01,100468,0,"Bangladesh","BGD"
"2339",2013-01-01,51519,0,"Barbados","BRB"
"2340",2013-01-01,1115,0,"Belarus","BLR"
"2341",2013-01-01,63055756,0,"Belgium","BEL"
"2342",2013-01-01,0,0,"Belize","BLZ"
"2343",2013-01-01,0,0,"Benin","BEN"
"2344",2013-01-01,0,0,"Bhutan","BTN"
"2345",2013-01-01,0,0,"Bolivia","BOL"
"2346",2013-01-01,218491,0,"Bosnia and Herzegovina","BIH"
"2347",2013-01-01,315136,0,"Botswana","BWA"
"2348",2013-01-01,53333654,22054034,"Brazil","BRA"
"2349",2013-01-01,3663621,335103,"Brunei Darussalam","BRN"
"2350",2013-01-01,407739,0,"Bulgaria","BGR"
"2351",2013-01-01,0,0,"Burkina Faso","BFA"
"2352",2013-01-01,0,0,"Burundi","BDI"
"2353",2013-01-01,27432,0,"Cambodia","KHM"
"2354",2013-01-01,66150,0,"Cameroon","CMR"
"2355",2013-01-01,133944212,0,"Canada","CAN"
"2356",2013-01-01,16410,0,"Cape Verde","CPV"
"2357",2013-01-01,0,0,"Central African Republic","CAF"
"2358",2013-01-01,0,0,"Chad","TCD"
"2359",2013-01-01,22425730,38127,"Chile","CHL"
"2360",2013-01-01,16977662,0,"China","CHN"
"2361",2013-01-01,50292687,7900000,"Colombia","COL"
"2362",2013-01-01,778556,19000,"Congo, DR","COD"
"2363",2013-01-01,0,0,"Congo, Rep.","COG"
"2364",2013-01-01,2950000,0,"Costa Rica","CRI"
"2365",2013-01-01,571969,0,"Côte d`Ivoire","CIV"
"2366",2013-01-01,561807,0,"Croatia","HRV"
"2367",2013-01-01,0,0,"Cuba","CUB"
"2368",2013-01-01,12790,0,"Cyprus","CYP"
"2369",2013-01-01,10413139,0,"Czech Republic","CZE"
"2370",2013-01-01,27440044,0,"Denmark","DNK"
"2371",2013-01-01,0,0,"Djibouti","DJI"
"2372",2013-01-01,0,0,"Dominican Republic","DOM"
"2373",2013-01-01,3417281,0,"Ecuador","ECU"
"2374",2013-01-01,13192214,0,"Egypt","EGY"
"2375",2013-01-01,0,0,"El Salvador","SLV"
"2376",2013-01-01,0,0,"Equatorial Guinea","GNQ"
"2377",2013-01-01,0,0,"Eritrea","ERI"
"2378",2013-01-01,2851880,0,"Estonia","EST"
"2379",2013-01-01,195000,0,"Ethiopia","ETH"
"2380",2013-01-01,0,0,"Fiji","FJI"
"2381",2013-01-01,23244674,0,"Finland","FIN"
"2382",2013-01-01,146593634,0,"France","FRA"
"2383",2013-01-01,20900,0,"Gabon","GAB"
"2384",2013-01-01,0,0,"Gambia","GMB"
"2385",2013-01-01,7060,0,"Georgia","GEO"
"2386",2013-01-01,0,0,"Germany","DEU"
