"","Country","DirectCost","IndirectCost","TotalCost","FinancialContributions","DirectCost2","IndirectCost2","Total","year"
"1","Australia",9.55974456463184e-05,0.000402002772527732,0.000497600218174051,9.06981775645691e-05,8.55806471278343e-05,0.00129196971735714,0.00137755036448497,2007
"2","Austria",0.000288998541895735,0.000106369044566124,0.000395367586461859,0.000108253285817622,0.000208781506907173,0.000142191837542434,0.000350973344449607,2007
"3","Belgium",0.000116641637248901,0.000117646190645007,0.000234287827893907,0.000103813887761313,0.000261292169564193,0.000299951458459083,0.000561243628023277,2007
"4","Canada",9.21235938706248e-05,0.00025528246032714,0.000347406054197764,9.57781230899986e-05,0.000146151094280403,0.000440800682237898,0.000586951776518302,2007
"5","Denmark",0.000202841692375352,0.000377823938459737,0.000580665630835089,0.000109624142485815,0.000469298726990801,0.000579347221870248,0.00104864594886105,2007
"6","Finland",0.00042052500832446,0.00027182281009631,0.00069234781842077,0.000103707404010736,0.000460834746232227,0.000345236415011248,0.000806071161243475,2007
"7","France",0.000111527326871353,0.00021748078711035,0.000329008113981703,0.000117737465515485,0.000318360831182753,0.000494574280439231,0.000812935111621984,2007
"8","Germany",1.75741225576059e-05,3.22289684552949e-05,4.98030910129009e-05,0.000122422986374486,0.000231521243269726,0.000319277455839871,0.000550798699109597,2007
"9","Greece",1.49376407059762e-05,1.5624087886969e-05,3.05617285929452e-05,7.70788100036924e-05,0.00057802507930251,0.000327890544036961,0.000905915623339471,2007
"10","Ireland",0.000608733526640748,0.000326242633653732,0.00093497616029448,6.34181186221435e-05,0.000107361355996562,0.000114214887452389,0.000221576243448951,2007
"11","Italy",1.42741341645584e-05,5.32888587897551e-05,6.75629929543135e-05,0.00010232676499871,0.000294333562651798,0.000479441389922719,0.000773774952574517,2007
"12","Japan",4.75155015073727e-06,1.8956764008152e-05,2.37083141588893e-05,0.00013303406744585,0,0,0,2007
"13","Netherlands",9.53573318020672e-05,0.000284012720356026,0.000379370052158093,0.000101033597480206,0.000320558633939889,0.000571199336024252,0.000891757969964142,2007
"14","New Zealand",0.000234480236225994,0.00076084668766567,0.000995326923891664,9.16777698123501e-05,9.6902566268682e-05,0.000299832879340067,0.000396735445608749,2007
"15","Norway",0.000356243897778323,0.000684997763633135,0.00104124166141146,5.6800052065381e-05,0.000434685059226775,0.000660608555999874,0.00109529361522665,2007
"16","Portugal",0.000237261988095142,0.000248909662402159,0.000486171650497301,8.25265372805506e-05,0.000282765173842625,0.000227490054092729,0.000510255227935354,2007
"17","Spain",1.43148004664371e-05,3.5673723153802e-05,4.99885236202391e-05,8.10223827007911e-05,0.0001786591120603,0.000151312603568635,0.000329971715628934,2007
"18","Sweden",0.000160088681037592,0.000221417214925412,0.000381505895963005,0.000105213559222868,0.000240093939822951,0.000367288860218067,0.000607382800041018,2007
"19","Switzerland",1.44272595179202e-05,6.99470361313461e-05,8.43742956492662e-05,6.11615375462871e-05,6.44497117131021e-05,0.000590583583915383,0.000655033295628485,2007
"20","United Kingdom",8.05571775195648e-05,0.000366445134177978,0.000447002311697542,0.00010520173254303,0.00030468165717334,0.000993843925415855,0.0012985255825892,2007
"21","United States",9.02839284384162e-06,3.51231013473551e-05,4.41514941911967e-05,7.37033093580475e-05,0.000115662866325733,0.000815141717432415,0.000930804583758148,2007
"22","EU",5.83537786341618e-05,0.000116536832757719,0.000174890611391881,9.58666467463605e-05,0.000366860799499502,0.00043367237453322,0.000800533174032722,2007
"23","Europe",6.30375066346618e-05,0.000126454807712847,0.000189492314347509,9.41872969735969e-05,0.000360230649182798,0.000442251373870112,0.000802482023052909,2007
"24","Australia",8.73972905167048e-05,18,0.000462479139974346,9.66929750630956e-05,9.42155111475838e-05,0.0012054503703607,0.00129966588150828,2008
"25","Austria",0.000276612154367262,24,0.000375857982225704,0.000116601469218794,0.000197221746414416,0.000132669675554333,0.000329891421968749,2008
"26","Belgium",0.000117212103824155,3,0.000226979881024575,0.000104941262326788,0.000254217742586611,0.000279864606601907,0.000534082349188517,2008
"27","Canada",8.40456297741504e-05,10,0.000322232587420058,0.000103062307790951,0.000131587082490092,0.000411281579219892,0.000542868661709984,2008
"28","Denmark",0.000188678030693322,17,0.000541200230268629,0.000118258464154414,0.000446327616775135,0.000540550071560136,0.000986877688335271,2008
"29","Finland",0.000394444258064951,12,0.000648063907737053,0.000111649938828595,0.000452140173923461,0.000322116965085387,0.000774257139008849,2008
"30","France",0.000112444788705149,7,0.000315361538104498,0.0001236074481931,0.000298498669817868,0.000461454120415379,0.000759952790233247,2008
"31","Germany",2.07340484304332e-05,20,7.97679547291012e-05,0.00013085516997148,0.000220024891189495,0.000297896399752535,0.000517921290942031,2008
"32","Greece",2.34261223362327e-05,19,6.84337603135697e-05,6.81478888172654e-05,0.000554317130103471,0.000305932695199437,0.000860249825302907,2008
"33","Ireland",0.000567981474460023,14,0.000872376614904811,7.07965234030153e-05,0.000114194181383152,0.000328298357747297,0.000442492539130449,2008
"34","Italy",3.00190077495837e-05,11,0.000276293807228552,0.000102856203523229,0.000286003722598638,0.000447334634306159,0.000733338356904797,2008
"35","Japan",4.37282430173514e-06,6,2.20601105341185e-05,0.000148158203114677,0,0,0,2008
"36","Netherlands",8.96462017130281e-05,13,0.000354639439821317,0.000110254828901389,0.000288853878029736,0.000532947825254546,0.000821801703284282,2008
"37","New Zealand",0.000214800741423977,23,0.000924695802517548,9.80610002349964e-05,0.000118827832614513,0.000357493421149832,0.000476321253764346,2008
"38","Norway",0.000325713986582084,21,0.00096483949918073,6.669462120978e-05,0.000395354038497741,0.000616369577239373,0.00101172361573711,2008
"39","Portugal",0.000232479124823904,9,0.000464720051757407,8.11810126640451e-05,0.000271073981349914,0.000212255725715009,0.000483329707064923,2008
"40","South Korea",2.11498786995622e-05,2,3.17796301393573e-05,5.77705962410617e-05,0,0,0,2008
"41","Spain",2.35309738139123e-05,1,0.000123853480044731,8.16561273126679e-05,0.000169322741504118,0.000141179651164866,0.000310502392668984,2008
"42","Sweden",0.00014903890582984,8,0.000355628472249446,0.000109648326184031,0.000232645807690757,0.000409331737702508,0.000641977545393265,2008
"43","Switzerland",1.43716369600969e-05,22,7.96345293308599e-05,6.95894433029117e-05,6.89877786232653e-05,0.000551033968053099,0.000620021746676364,2008
"44","United Kingdom",7.44648866224889e-05,16,0.000416370286398674,0.000116429194381986,0.000275027691580805,0.000927289170851439,0.00120231686243224,2008
"45","United States",8.38714750486292e-06,15,4.11581598270361e-05,7.89236532400121e-05,0.000105926074905347,0.000760554115142417,0.000866480190047765,2008
"46","EU",6.08954747837881e-05,4,0.000202476125460057,9.7332388350761e-05,0.000348298212962076,0.000407219909320308,0.000755518122282383,2008
"47","Europe",6.48624932394736e-05,5,0.000214188386981234,9.60015316280065e-05,0.000341868947249329,0.000415105485187431,0.00075697443243676,2008
"48","Australia",8.04882701955847e-05,0.000349963740070621,0.000430452010266206,0.000104239365269239,2,0.00112472496520679,0.00122598073326527,2009
"49","Austria",0.000265788523611442,9.25996316643098e-05,0.000358388155275752,0.000124665202276391,8,0.000176104552022762,0.000393519290628381,2009
"50","Belgium",0.000119381203761265,0.000105995169521918,0.000225376373283183,0.00012234498056265,10,0.000261122911123049,0.000499760803555034,2009
"51","Canada",7.73906513859865e-05,0.000222236289637412,0.000299626941023398,0.000112297485183426,3,0.000383739282223518,0.000502659157278666,2009
"52","Denmark",0.000174515847929158,0.000328914842452884,0.000503430690382042,0.00012846842675785,19,0.000504351050343189,0.000927066300991447,2009
"53","Finland",0.000357876193884346,0.000236635500446078,0.000594511694330423,0.000121654580414664,20,0.000300545755558376,0.00074871150556224,2009
"54","France",0.000113974247017413,0.000189328021724999,0.000303302268742413,0.000140524350176053,15,0.000430551918428147,0.000742531262568103,2009
"55","Germany",2.09600706895872e-05,5.50805821959499e-05,7.60406528855371e-05,0.000141641357387347,7,0.000277947169029153,0.000487579627507943,2009
"56","Greece",2.9684889685142e-05,4.19936111040003e-05,7.16785007891424e-05,8.01839683547067e-05,21,0.000285445297810849,0.00081926242745964,2009
"57","Ireland",0.000514870651792048,0.000284010708498467,0.000798881360290515,8.13980579785387e-05,5,0.000306313198845582,0.000466146424708805,2009
"58","Italy",4.51368951764733e-05,0.000229782512897989,0.000274919408074463,0.000107592812145966,14,0.000417377972064699,0.000694009645723221,2009
"59","Japan",4.04891720060317e-06,1.65028215855684e-05,2.05517387861716e-05,0.000163852787808048,1,0,0,2009
"60","Netherlands",8.22799012886816e-05,0.000247247433689203,0.000329527334977884,0.000121365771838751,12,0.000497257903730285,0.000760930268994128,2009
"61","New Zealand",0.00019705611782369,0.000662355512529339,0.000859411630353029,0.000108444506593075,4,0.000333553156190156,0.000467357248780653,2009
"62","Norway",0.000296683886762834,0.000596325188987411,0.000893009075750245,7.46631902857355e-05,18,0.000575093150543929,0.000932871683163254,2009
"63","Portugal",0.000226457915078983,0.000216688446814047,0.000443146361893031,9.94095849833622e-05,13,0.00019804159473469,0.000465936944277843,2009
"64","South Korea",2.29188103069412e-05,1.68222377497284e-05,3.97410480566696e-05,5.29221775673269e-05,1,0,0,2009
"65","Spain",3.19043050355434e-05,9.36042081070107e-05,0.000125508513142554,8.80224970869002e-05,6,0.000131725272270478,0.000294615221745749,2009
"66","Sweden",0.000137965073544012,0.000192754881176777,0.000330719954720789,0.000121899105898683,9,0.000381920015759531,0.000605363272116151,2009
"67","Switzerland",1.41763322972014e-05,6.08924317050377e-05,7.50687640022391e-05,8.17048289889495e-05,22,0.00051413287165098,0.000586719438630086,2009
"68","United Kingdom",6.90312663848886e-05,0.000319009017975762,0.000388040284360651,0.000135713370464297,11,0.000865191389099204,0.00111441450629282,2009
"69","United States",7.79810636897816e-06,3.05764356626468e-05,3.8374542031625e-05,8.90244737085496e-05,23,0.000709622081276959,0.000807227314853758,2009
"70","EU",6.2029999126451e-05,0.000132210921652305,0.000194240920778756,0.000109462368013003,17,0.000381284240204595,0.000714584310870672,2009
"71","Europe",6.53706591048181e-05,0.000139432368112253,0.000204803027217071,0.000108049545680224,16,0.000388580449231483,0.000715498133023715,2009
"72","Australia",7.40779709591125e-05,0.000326527715327501,0.000400605686286614,9.90204576122987e-05,2,0.00104940549894302,0.00115231045332724,2010
"73","Austria",0.00025969343091822,0.000149394858172545,0.000409088289090765,0.000118983471831138,9,0.000170379251593362,0.000387076705313379,2010
