Country,WeightedExports
Australia,-0.002
Austria,-0.070
Belgium,-0.292
Canada,-0.017
Czech Republic,-0.441
Denmark,-0.033
Finland,-0.054
France,-0.695
Germany,-0.312
Greece,-0.046
Hungary,-0.023
Ireland,-0.005
Italy,-0.179
Japan,0.000
Luxembourg,-0.002
Netherlands,-0.395
New Zealand,-0.000
Norway,-0.055
Poland,-0.164
Portugal,-0.041
Slovakia,-0.084
South Korea,0.000
Spain,-0.251
Sweden,-0.800
Switzerland,-0.133
United Kingdom,-0.320
United States,-0.352
EU,-0.339
Europe,-0.328
